age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,ADMIN.,DIVORCED,SECONDARY,YES,5,YES,YES,CELLULAR,18,MAY,82,3,363,2,OTHER,NO
27,SERVICES,MARRIED,SECONDARY,NO,54,YES,NO,CELLULAR,18,MAY,97,1,370,1,FAILURE,NO
35,BLUE-COLLAR,MARRIED,PRIMARY,NO,298,YES,NO,CELLULAR,13,MAY,135,2,370,2,FAILURE,NO
41,MANAGEMENT,DIVORCED,TERTIARY,NO,5037,NO,NO,CELLULAR,23,APR,252,9,185,5,OTHER,YES
32,MANAGEMENT,MARRIED,TERTIARY,NO,913,YES,NO,CELLULAR,23,JUN,883,1,674,4,FAILURE,NO
31,MANAGEMENT,MARRIED,SECONDARY,NO,625,YES,NO,CELLULAR,7,APR,424,1,138,1,FAILURE,NO
51,SERVICES,MARRIED,SECONDARY,NO,867,YES,NO,CELLULAR,3,FEB,177,2,211,3,FAILURE,NO
80,RETIRED,MARRIED,SECONDARY,NO,8304,NO,NO,TELEPHONE,9,JUN,712,1,64,12,FAILURE,YES
48,MANAGEMENT,MARRIED,TERTIARY,NO,60,NO,NO,TELEPHONE,7,MAY,376,2,339,7,FAILURE,NO
46,BLUE-COLLAR,MARRIED,PRIMARY,NO,91,YES,NO,CELLULAR,6,MAY,29,1,356,2,FAILURE,NO
41,ENTREPRENEUR,MARRIED,TERTIARY,NO,171,YES,NO,CELLULAR,19,NOV,209,1,191,4,FAILURE,NO
33,BLUE-COLLAR,DIVORCED,PRIMARY,NO,142,YES,NO,TELEPHONE,11,MAY,41,2,300,5,FAILURE,NO
40,MANAGEMENT,SINGLE,TERTIARY,NO,1509,NO,NO,CELLULAR,15,MAR,144,2,124,1,FAILURE,NO
27,ADMIN.,MARRIED,SECONDARY,NO,710,YES,YES,CELLULAR,6,MAY,653,1,334,2,SUCCESS,YES
40,MANAGEMENT,DIVORCED,TERTIARY,NO,69,YES,NO,CELLULAR,6,MAY,503,2,280,2,FAILURE,NO
34,ADMIN.,MARRIED,SECONDARY,NO,1499,YES,NO,CELLULAR,13,APR,186,1,327,2,FAILURE,NO
83,RETIRED,MARRIED,PRIMARY,NO,425,NO,NO,TELEPHONE,22,JUN,883,1,140,1,FAILURE,YES
29,ADMIN.,SINGLE,SECONDARY,NO,1448,NO,NO,CELLULAR,10,MAR,217,1,184,7,OTHER,NO
45,SELF-EMPLOYED,MARRIED,SECONDARY,NO,706,NO,NO,CELLULAR,30,APR,78,2,176,1,SUCCESS,NO
46,ADMIN.,MARRIED,SECONDARY,NO,368,NO,NO,CELLULAR,20,AUG,293,1,90,4,OTHER,YES
41,BLUE-COLLAR,MARRIED,SECONDARY,NO,121,YES,NO,CELLULAR,13,MAY,16,6,176,5,OTHER,NO
24,ADMIN.,MARRIED,SECONDARY,NO,299,YES,NO,CELLULAR,6,MAY,209,1,321,1,FAILURE,NO
50,SERVICES,MARRIED,SECONDARY,NO,254,YES,NO,CELLULAR,15,APR,397,2,337,1,FAILURE,NO
25,MANAGEMENT,SINGLE,TERTIARY,NO,553,YES,NO,CELLULAR,17,SEP,113,4,479,1,FAILURE,NO
21,SERVICES,SINGLE,SECONDARY,NO,361,NO,NO,TELEPHONE,5,JUN,329,1,95,1,OTHER,NO
34,TECHNICIAN,SINGLE,SECONDARY,NO,341,NO,YES,CELLULAR,29,JAN,136,1,262,3,FAILURE,NO
37,BLUE-COLLAR,MARRIED,PRIMARY,NO,37,YES,NO,CELLULAR,13,MAY,24,2,362,1,OTHER,NO
35,BLUE-COLLAR,SINGLE,SECONDARY,NO,0,YES,NO,CELLULAR,16,APR,1174,1,345,4,OTHER,YES
32,STUDENT,SINGLE,TERTIARY,NO,0,NO,NO,CELLULAR,6,AUG,101,5,3,6,OTHER,NO
36,MANAGEMENT,MARRIED,TERTIARY,NO,495,NO,NO,CELLULAR,5,AUG,157,3,97,2,SUCCESS,YES
38,ENTREPRENEUR,MARRIED,SECONDARY,NO,157,NO,YES,CELLULAR,15,MAY,57,11,366,1,OTHER,NO
77,RETIRED,MARRIED,TERTIARY,NO,0,NO,NO,CELLULAR,16,OCT,847,1,60,1,SUCCESS,YES
73,RETIRED,MARRIED,PRIMARY,NO,1388,NO,NO,CELLULAR,20,JUL,146,3,190,3,SUCCESS,NO
57,TECHNICIAN,DIVORCED,PRIMARY,NO,13,YES,NO,CELLULAR,8,MAY,323,2,368,2,FAILURE,NO
33,MANAGEMENT,MARRIED,TERTIARY,NO,3696,NO,NO,CELLULAR,19,NOV,305,1,182,3,FAILURE,NO
38,MANAGEMENT,MARRIED,TERTIARY,NO,0,YES,NO,CELLULAR,13,MAY,537,5,303,2,FAILURE,NO
59,TECHNICIAN,MARRIED,SECONDARY,NO,259,NO,NO,CELLULAR,15,JUN,415,1,89,1,SUCCESS,YES
38,TECHNICIAN,SINGLE,TERTIARY,NO,744,YES,NO,CELLULAR,14,MAY,283,1,288,12,OTHER,NO
35,TECHNICIAN,SINGLE,TERTIARY,NO,7546,YES,NO,CELLULAR,28,DEC,137,1,122,3,FAILURE,NO
39,BLUE-COLLAR,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,7,MAY,502,1,7,2,FAILURE,NO
29,TECHNICIAN,SINGLE,SECONDARY,NO,113,NO,NO,CELLULAR,12,FEB,328,2,183,4,SUCCESS,YES
45,TECHNICIAN,MARRIED,SECONDARY,NO,1415,YES,NO,CELLULAR,17,NOV,483,1,116,1,FAILURE,NO
32,TECHNICIAN,MARRIED,SECONDARY,NO,286,NO,NO,CELLULAR,20,APR,60,1,343,4,FAILURE,NO
35,MANAGEMENT,MARRIED,TERTIARY,NO,93,NO,NO,CELLULAR,4,MAY,198,2,88,1,OTHER,NO
38,BLUE-COLLAR,MARRIED,SECONDARY,NO,1663,YES,NO,CELLULAR,13,APR,217,3,327,1,FAILURE,NO
42,BLUE-COLLAR,MARRIED,PRIMARY,NO,792,YES,YES,CELLULAR,19,NOV,611,2,175,12,OTHER,NO
37,SERVICES,MARRIED,SECONDARY,NO,4760,YES,NO,CELLULAR,8,MAY,182,2,169,2,FAILURE,NO
50,BLUE-COLLAR,DIVORCED,SECONDARY,NO,203,YES,NO,TELEPHONE,19,NOV,265,1,127,4,OTHER,NO
43,SELF-EMPLOYED,MARRIED,SECONDARY,NO,634,YES,NO,CELLULAR,17,NOV,65,1,131,1,FAILURE,NO
54,ENTREPRENEUR,MARRIED,TERTIARY,NO,1544,NO,YES,CELLULAR,5,FEB,85,7,196,3,FAILURE,NO
36,BLUE-COLLAR,MARRIED,PRIMARY,NO,49,YES,NO,CELLULAR,15,MAY,232,2,365,5,OTHER,NO
34,BLUE-COLLAR,SINGLE,PRIMARY,NO,464,YES,NO,CELLULAR,18,MAY,173,1,299,2,OTHER,NO
37,MANAGEMENT,MARRIED,TERTIARY,NO,539,NO,NO,CELLULAR,18,JAN,540,2,115,3,FAILURE,NO
46,BLUE-COLLAR,MARRIED,PRIMARY,NO,2558,YES,NO,TELEPHONE,20,NOV,107,1,167,1,OTHER,NO
70,RETIRED,MARRIED,SECONDARY,NO,2815,NO,NO,CELLULAR,26,APR,125,2,182,1,FAILURE,NO
32,MANAGEMENT,MARRIED,SECONDARY,NO,6217,YES,YES,CELLULAR,18,NOV,486,2,181,2,FAILURE,NO
55,SELF-EMPLOYED,MARRIED,SECONDARY,NO,203,YES,NO,TELEPHONE,14,MAY,9,5,174,12,OTHER,NO
36,SERVICES,MARRIED,SECONDARY,NO,1746,YES,NO,CELLULAR,7,APR,15,1,316,1,FAILURE,NO
38,TECHNICIAN,MARRIED,SECONDARY,NO,821,YES,YES,CELLULAR,17,NOV,224,2,180,1,FAILURE,NO
59,BLUE-COLLAR,MARRIED,PRIMARY,NO,699,NO,NO,CELLULAR,28,JAN,98,1,154,6,FAILURE,NO
42,UNEMPLOYED,DIVORCED,SECONDARY,NO,759,NO,NO,CELLULAR,28,JAN,97,1,169,3,FAILURE,NO
33,BLUE-COLLAR,MARRIED,SECONDARY,NO,687,YES,NO,CELLULAR,14,MAY,72,2,370,1,FAILURE,NO
53,RETIRED,MARRIED,SECONDARY,NO,4968,NO,NO,CELLULAR,6,MAY,109,1,87,2,FAILURE,NO
36,ADMIN.,DIVORCED,SECONDARY,NO,356,YES,NO,CELLULAR,7,APR,244,3,313,1,FAILURE,NO
53,BLUE-COLLAR,MARRIED,PRIMARY,NO,306,NO,NO,CELLULAR,28,JUL,388,3,181,1,SUCCESS,YES
47,BLUE-COLLAR,MARRIED,PRIMARY,NO,556,YES,NO,CELLULAR,4,FEB,147,2,264,4,OTHER,NO
32,MANAGEMENT,MARRIED,TERTIARY,NO,4761,YES,NO,CELLULAR,5,MAY,159,2,350,2,FAILURE,NO
40,ADMIN.,MARRIED,SECONDARY,NO,168,YES,NO,CELLULAR,7,MAY,249,2,169,1,FAILURE,NO
43,ADMIN.,MARRIED,SECONDARY,NO,132,NO,NO,CELLULAR,19,AUG,574,1,84,3,SUCCESS,YES
34,BLUE-COLLAR,MARRIED,SECONDARY,NO,7,YES,YES,CELLULAR,2,FEB,171,2,193,2,OTHER,NO
31,MANAGEMENT,SINGLE,TERTIARY,NO,3283,NO,NO,CELLULAR,2,FEB,258,1,73,1,FAILURE,YES
40,UNEMPLOYED,DIVORCED,SECONDARY,NO,507,YES,NO,CELLULAR,2,FEB,134,1,266,7,FAILURE,NO
56,BLUE-COLLAR,MARRIED,SECONDARY,NO,2190,NO,YES,CELLULAR,30,JAN,90,2,232,1,FAILURE,NO
48,MANAGEMENT,MARRIED,SECONDARY,NO,4415,YES,NO,CELLULAR,8,APR,1032,3,141,7,FAILURE,YES
53,ADMIN.,SINGLE,SECONDARY,NO,2398,YES,NO,CELLULAR,2,AUG,317,1,180,2,FAILURE,YES
40,ADMIN.,SINGLE,SECONDARY,NO,100,YES,NO,CELLULAR,11,AUG,221,1,461,1,SUCCESS,YES
49,ADMIN.,MARRIED,SECONDARY,NO,197,YES,NO,CELLULAR,13,APR,223,1,182,2,FAILURE,YES
40,TECHNICIAN,SINGLE,TERTIARY,NO,825,YES,NO,CELLULAR,20,APR,38,1,335,1,OTHER,NO
47,HOUSEMAID,SINGLE,TERTIARY,NO,3232,NO,NO,TELEPHONE,6,OCT,541,1,204,3,FAILURE,NO
29,MANAGEMENT,SINGLE,TERTIARY,NO,1445,NO,NO,CELLULAR,26,APR,328,2,143,2,SUCCESS,YES
35,TECHNICIAN,MARRIED,SECONDARY,NO,0,YES,NO,CELLULAR,9,NOV,524,1,96,5,SUCCESS,YES
35,SELF-EMPLOYED,SINGLE,TERTIARY,NO,44,NO,NO,CELLULAR,7,SEP,310,2,96,2,OTHER,NO
29,ADMIN.,SINGLE,SECONDARY,NO,1992,NO,NO,CELLULAR,8,JUL,202,1,87,2,FAILURE,NO
51,MANAGEMENT,SINGLE,TERTIARY,NO,297,YES,NO,CELLULAR,15,MAY,415,4,375,1,FAILURE,YES
32,TECHNICIAN,SINGLE,TERTIARY,NO,13711,YES,NO,CELLULAR,14,MAY,638,1,175,3,SUCCESS,NO
37,SERVICES,SINGLE,SECONDARY,NO,1175,YES,NO,CELLULAR,15,MAY,102,1,333,2,FAILURE,NO
70,RETIRED,MARRIED,TERTIARY,NO,15834,NO,NO,CELLULAR,5,APR,172,3,186,1,FAILURE,NO
28,BLUE-COLLAR,MARRIED,SECONDARY,NO,373,YES,NO,CELLULAR,14,MAY,10,9,344,1,FAILURE,NO
27,BLUE-COLLAR,MARRIED,SECONDARY,NO,2171,YES,NO,CELLULAR,16,APR,130,1,323,1,OTHER,NO
46,ADMIN.,MARRIED,SECONDARY,NO,4958,YES,NO,CELLULAR,17,NOV,64,3,150,5,OTHER,NO
50,MANAGEMENT,MARRIED,TERTIARY,NO,4374,YES,NO,CELLULAR,21,NOV,163,2,113,3,FAILURE,NO
36,SERVICES,SINGLE,SECONDARY,NO,774,YES,NO,CELLULAR,3,FEB,231,2,259,1,FAILURE,NO
37,BLUE-COLLAR,MARRIED,PRIMARY,NO,0,YES,NO,CELLULAR,6,MAY,226,1,363,3,OTHER,NO
38,BLUE-COLLAR,MARRIED,PRIMARY,NO,2240,YES,NO,CELLULAR,19,NOV,551,1,183,1,FAILURE,NO
48,MANAGEMENT,DIVORCED,TERTIARY,NO,541,YES,NO,CELLULAR,14,MAY,72,1,363,2,OTHER,NO
47,BLUE-COLLAR,MARRIED,SECONDARY,NO,1230,YES,NO,CELLULAR,30,APR,412,1,169,1,SUCCESS,YES
32,ADMIN.,SINGLE,SECONDARY,NO,45,YES,YES,CELLULAR,14,MAY,908,3,344,7,OTHER,NO
86,RETIRED,MARRIED,SECONDARY,NO,1503,NO,NO,TELEPHONE,18,MAR,165,3,101,1,OTHER,NO
34,SERVICES,DIVORCED,SECONDARY,NO,991,YES,NO,CELLULAR,6,MAY,89,1,344,1,FAILURE,NO
30,BLUE-COLLAR,SINGLE,SECONDARY,NO,180,NO,NO,CELLULAR,14,JUL,203,1,183,2,FAILURE,NO
34,TECHNICIAN,SINGLE,SECONDARY,NO,440,YES,NO,CELLULAR,6,MAY,445,2,345,2,FAILURE,NO
39,TECHNICIAN,DIVORCED,SECONDARY,NO,902,YES,NO,CELLULAR,10,FEB,691,2,180,5,FAILURE,YES
28,STUDENT,SINGLE,TERTIARY,NO,0,NO,NO,CELLULAR,28,SEP,294,2,105,7,OTHER,YES
46,MANAGEMENT,MARRIED,TERTIARY,NO,273,YES,NO,CELLULAR,18,MAR,910,2,184,4,SUCCESS,YES
54,RETIRED,MARRIED,SECONDARY,NO,1139,YES,NO,CELLULAR,14,MAY,155,1,177,7,FAILURE,NO
54,BLUE-COLLAR,MARRIED,SECONDARY,NO,0,NO,NO,TELEPHONE,16,APR,1366,1,150,1,FAILURE,NO
29,MANAGEMENT,SINGLE,TERTIARY,NO,1026,NO,NO,CELLULAR,12,NOV,226,1,92,1,OTHER,YES
22,STUDENT,SINGLE,PRIMARY,NO,3472,NO,NO,CELLULAR,20,OCT,332,1,183,3,FAILURE,YES
49,BLUE-COLLAR,MARRIED,PRIMARY,NO,474,YES,YES,TELEPHONE,9,FEB,152,3,221,1,FAILURE,NO
46,ENTREPRENEUR,SINGLE,TERTIARY,NO,1410,YES,NO,CELLULAR,19,NOV,93,1,189,8,FAILURE,NO
41,ADMIN.,DIVORCED,SECONDARY,NO,6046,YES,YES,TELEPHONE,15,MAR,300,6,182,2,SUCCESS,YES
36,ADMIN.,SINGLE,TERTIARY,NO,980,NO,NO,CELLULAR,11,NOV,118,4,104,7,FAILURE,NO
77,RETIRED,MARRIED,PRIMARY,NO,680,NO,NO,TELEPHONE,24,FEB,513,2,89,7,FAILURE,NO
34,TECHNICIAN,SINGLE,SECONDARY,NO,105,YES,NO,CELLULAR,7,MAY,146,2,171,3,FAILURE,NO
45,BLUE-COLLAR,MARRIED,SECONDARY,NO,2926,YES,YES,CELLULAR,19,NOV,482,3,120,2,FAILURE,NO
28,BLUE-COLLAR,MARRIED,PRIMARY,NO,60,YES,NO,CELLULAR,6,MAY,161,1,337,1,FAILURE,NO
32,ADMIN.,SINGLE,TERTIARY,NO,1583,YES,NO,CELLULAR,19,NOV,100,1,182,1,FAILURE,NO
28,BLUE-COLLAR,SINGLE,SECONDARY,NO,1065,YES,YES,CELLULAR,17,APR,406,1,317,1,FAILURE,NO
31,BLUE-COLLAR,SINGLE,SECONDARY,NO,609,YES,NO,CELLULAR,14,APR,1126,1,335,1,FAILURE,NO
40,MANAGEMENT,SINGLE,TERTIARY,NO,0,YES,NO,CELLULAR,23,FEB,228,2,182,6,FAILURE,YES
51,BLUE-COLLAR,MARRIED,PRIMARY,NO,42,YES,NO,CELLULAR,12,MAY,51,2,342,3,FAILURE,NO
59,MANAGEMENT,MARRIED,PRIMARY,NO,1727,NO,NO,TELEPHONE,25,MAY,500,4,358,2,FAILURE,YES
30,MANAGEMENT,MARRIED,TERTIARY,NO,1942,YES,YES,CELLULAR,21,NOV,436,2,178,3,OTHER,YES
59,TECHNICIAN,MARRIED,PRIMARY,NO,4198,NO,NO,CELLULAR,14,JAN,309,1,91,10,SUCCESS,YES
52,BLUE-COLLAR,MARRIED,PRIMARY,NO,230,YES,NO,CELLULAR,6,MAY,198,2,170,2,FAILURE,NO
48,TECHNICIAN,MARRIED,SECONDARY,NO,568,YES,NO,CELLULAR,2,SEP,378,2,386,1,SUCCESS,YES
41,HOUSEMAID,DIVORCED,PRIMARY,NO,22,YES,NO,CELLULAR,18,NOV,238,3,126,4,OTHER,NO
47,TECHNICIAN,MARRIED,SECONDARY,NO,1167,YES,NO,CELLULAR,30,APR,968,1,87,5,FAILURE,YES
38,MANAGEMENT,SINGLE,TERTIARY,NO,35,YES,NO,CELLULAR,17,APR,156,1,273,3,FAILURE,NO
80,RETIRED,MARRIED,SECONDARY,NO,8304,NO,NO,TELEPHONE,6,APR,681,1,118,11,SUCCESS,NO
69,RETIRED,MARRIED,TERTIARY,NO,473,NO,NO,CELLULAR,7,JUL,112,1,78,1,FAILURE,NO
26,MANAGEMENT,SINGLE,TERTIARY,NO,592,NO,NO,TELEPHONE,29,JAN,145,2,164,1,OTHER,NO
58,MANAGEMENT,MARRIED,TERTIARY,NO,9339,YES,NO,TELEPHONE,18,NOV,52,3,172,3,OTHER,NO
38,SELF-EMPLOYED,DIVORCED,TERTIARY,NO,1513,NO,NO,CELLULAR,7,MAY,330,1,342,1,FAILURE,NO
24,STUDENT,SINGLE,SECONDARY,NO,508,YES,NO,TELEPHONE,18,MAY,12,3,374,1,OTHER,NO
48,UNEMPLOYED,MARRIED,SECONDARY,NO,817,NO,NO,CELLULAR,14,JAN,517,1,282,4,SUCCESS,YES
41,TECHNICIAN,DIVORCED,SECONDARY,NO,348,YES,NO,CELLULAR,7,MAY,225,2,275,2,FAILURE,NO
35,HOUSEMAID,MARRIED,TERTIARY,NO,1265,YES,NO,CELLULAR,15,MAY,326,5,179,4,FAILURE,YES
37,MANAGEMENT,MARRIED,TERTIARY,NO,4089,YES,NO,CELLULAR,2,FEB,289,2,174,4,OTHER,YES
51,BLUE-COLLAR,DIVORCED,PRIMARY,NO,602,YES,NO,CELLULAR,11,MAY,347,1,284,2,FAILURE,NO
33,SERVICES,MARRIED,SECONDARY,NO,386,NO,NO,CELLULAR,12,NOV,253,1,92,4,FAILURE,YES
47,TECHNICIAN,MARRIED,SECONDARY,NO,826,YES,NO,TELEPHONE,18,NOV,195,3,112,8,OTHER,NO
32,BLUE-COLLAR,SINGLE,SECONDARY,NO,33,YES,NO,CELLULAR,18,MAY,125,1,368,4,FAILURE,NO
40,SERVICES,MARRIED,SECONDARY,NO,1438,YES,NO,CELLULAR,6,MAY,207,1,351,2,FAILURE,NO
46,ADMIN.,SINGLE,SECONDARY,NO,1693,YES,NO,CELLULAR,25,JAN,137,1,97,1,SUCCESS,NO
54,MANAGEMENT,DIVORCED,TERTIARY,NO,26306,YES,NO,CELLULAR,11,FEB,27,1,84,3,FAILURE,NO
34,MANAGEMENT,MARRIED,TERTIARY,NO,3301,YES,NO,CELLULAR,17,JUN,485,2,227,4,FAILURE,YES
24,STUDENT,SINGLE,SECONDARY,NO,822,NO,NO,CELLULAR,27,OCT,184,1,91,2,FAILURE,YES
33,BLUE-COLLAR,MARRIED,SECONDARY,NO,139,YES,YES,CELLULAR,18,MAY,732,2,291,5,FAILURE,YES
46,MANAGEMENT,SINGLE,TERTIARY,NO,46,NO,YES,CELLULAR,17,NOV,80,1,152,1,FAILURE,NO
34,ADMIN.,SINGLE,SECONDARY,NO,10,NO,YES,CELLULAR,18,NOV,162,1,173,3,FAILURE,NO
49,UNEMPLOYED,DIVORCED,TERTIARY,NO,780,NO,NO,CELLULAR,8,NOV,148,1,871,2,FAILURE,NO
37,MANAGEMENT,MARRIED,TERTIARY,NO,238,NO,NO,CELLULAR,3,FEB,185,1,92,1,SUCCESS,YES
36,MANAGEMENT,SINGLE,TERTIARY,NO,1531,YES,NO,CELLULAR,8,MAY,81,3,170,1,FAILURE,NO
58,RETIRED,MARRIED,SECONDARY,NO,502,YES,NO,CELLULAR,12,MAY,197,2,370,3,FAILURE,NO
55,ADMIN.,MARRIED,SECONDARY,NO,0,NO,NO,CELLULAR,23,SEP,180,2,238,3,SUCCESS,NO
34,MANAGEMENT,SINGLE,TERTIARY,NO,171,YES,NO,CELLULAR,7,MAY,191,1,294,1,FAILURE,NO
38,TECHNICIAN,MARRIED,SECONDARY,NO,1931,NO,NO,CELLULAR,2,JUN,167,1,298,10,OTHER,NO
34,ENTREPRENEUR,MARRIED,SECONDARY,NO,2,YES,YES,CELLULAR,5,MAY,184,1,167,6,FAILURE,NO
48,TECHNICIAN,MARRIED,SECONDARY,NO,197,NO,YES,CELLULAR,3,FEB,47,2,222,3,OTHER,NO
28,TECHNICIAN,SINGLE,SECONDARY,NO,769,YES,NO,CELLULAR,15,MAY,153,1,371,2,FAILURE,NO
36,TECHNICIAN,MARRIED,TERTIARY,NO,6,YES,NO,CELLULAR,27,JAN,100,1,435,1,FAILURE,NO
53,ADMIN.,MARRIED,SECONDARY,NO,225,YES,NO,CELLULAR,20,APR,304,1,340,1,FAILURE,NO
38,ADMIN.,SINGLE,SECONDARY,NO,883,YES,NO,CELLULAR,12,MAY,95,1,327,9,OTHER,NO
30,MANAGEMENT,MARRIED,TERTIARY,NO,102,YES,NO,CELLULAR,5,APR,470,7,426,3,OTHER,YES
33,ADMIN.,SINGLE,TERTIARY,NO,490,YES,NO,CELLULAR,7,MAY,31,1,363,2,FAILURE,NO
26,SERVICES,SINGLE,SECONDARY,NO,512,YES,YES,CELLULAR,30,JAN,206,5,239,3,FAILURE,NO
36,SERVICES,SINGLE,SECONDARY,NO,417,YES,NO,CELLULAR,6,FEB,15,10,207,3,FAILURE,NO
33,ADMIN.,DIVORCED,SECONDARY,NO,661,YES,NO,CELLULAR,18,NOV,411,1,173,2,OTHER,NO
43,SERVICES,SINGLE,SECONDARY,NO,3403,YES,NO,CELLULAR,12,NOV,707,2,97,2,SUCCESS,YES
42,BLUE-COLLAR,DIVORCED,SECONDARY,NO,1491,YES,NO,CELLULAR,6,MAY,203,2,334,2,FAILURE,NO
32,TECHNICIAN,SINGLE,SECONDARY,NO,6402,YES,NO,CELLULAR,6,MAY,158,1,167,1,SUCCESS,NO
30,MANAGEMENT,MARRIED,TERTIARY,NO,877,NO,NO,CELLULAR,13,AUG,202,1,83,5,FAILURE,NO
40,TECHNICIAN,MARRIED,SECONDARY,NO,0,YES,YES,CELLULAR,26,JUL,105,2,172,1,FAILURE,NO
26,STUDENT,SINGLE,SECONDARY,NO,203,NO,NO,CELLULAR,16,NOV,104,1,196,1,FAILURE,NO
52,TECHNICIAN,MARRIED,SECONDARY,NO,1818,NO,YES,CELLULAR,17,NOV,189,2,111,4,FAILURE,NO
42,UNEMPLOYED,MARRIED,SECONDARY,NO,1289,NO,NO,CELLULAR,15,JUL,250,4,415,2,FAILURE,YES
73,RETIRED,MARRIED,PRIMARY,NO,796,NO,NO,CELLULAR,23,OCT,427,1,182,2,FAILURE,YES
51,TECHNICIAN,MARRIED,SECONDARY,NO,117,NO,NO,CELLULAR,24,AUG,467,2,88,4,OTHER,YES
39,MANAGEMENT,MARRIED,TERTIARY,NO,691,YES,YES,CELLULAR,16,APR,517,1,255,1,FAILURE,NO
35,MANAGEMENT,MARRIED,SECONDARY,NO,724,YES,NO,CELLULAR,14,JUL,287,2,415,1,FAILURE,YES
46,BLUE-COLLAR,MARRIED,PRIMARY,NO,665,NO,NO,CELLULAR,30,JAN,89,4,235,2,FAILURE,NO
36,MANAGEMENT,MARRIED,TERTIARY,NO,925,NO,NO,CELLULAR,14,DEC,321,3,189,4,SUCCESS,YES
26,BLUE-COLLAR,SINGLE,PRIMARY,NO,155,YES,NO,CELLULAR,29,JAN,291,1,244,4,FAILURE,NO
22,STUDENT,SINGLE,SECONDARY,NO,2488,NO,NO,CELLULAR,8,NOV,449,2,38,10,OTHER,YES
32,MANAGEMENT,MARRIED,TERTIARY,NO,1667,YES,NO,CELLULAR,18,NOV,164,2,179,3,FAILURE,NO
50,ADMIN.,DIVORCED,SECONDARY,NO,769,NO,NO,CELLULAR,28,JUL,72,2,363,4,FAILURE,NO
35,BLUE-COLLAR,MARRIED,SECONDARY,NO,1257,YES,NO,CELLULAR,20,APR,93,3,329,7,FAILURE,NO
56,ENTREPRENEUR,DIVORCED,PRIMARY,NO,29,NO,NO,CELLULAR,29,JAN,52,2,227,1,FAILURE,NO
44,TECHNICIAN,DIVORCED,SECONDARY,NO,14,NO,NO,CELLULAR,13,NOV,167,1,92,1,SUCCESS,YES
31,MANAGEMENT,MARRIED,TERTIARY,NO,4148,YES,NO,CELLULAR,21,NOV,316,3,99,9,OTHER,YES
49,UNEMPLOYED,MARRIED,TERTIARY,NO,377,NO,NO,CELLULAR,22,MAY,158,1,59,2,FAILURE,NO
34,ADMIN.,DIVORCED,SECONDARY,NO,479,YES,NO,CELLULAR,12,MAY,515,1,350,5,FAILURE,YES
44,BLUE-COLLAR,MARRIED,SECONDARY,NO,1071,YES,NO,CELLULAR,11,MAY,143,3,357,1,FAILURE,NO
55,ADMIN.,MARRIED,SECONDARY,NO,865,YES,NO,CELLULAR,17,APR,85,1,151,1,FAILURE,NO
52,TECHNICIAN,MARRIED,TERTIARY,NO,2557,NO,NO,CELLULAR,28,JAN,134,5,204,2,SUCCESS,YES
32,TECHNICIAN,MARRIED,SECONDARY,NO,4,NO,NO,CELLULAR,4,FEB,145,2,260,4,FAILURE,NO
36,BLUE-COLLAR,SINGLE,PRIMARY,NO,367,NO,NO,CELLULAR,2,FEB,217,1,221,1,FAILURE,NO
36,ADMIN.,MARRIED,SECONDARY,NO,725,YES,NO,CELLULAR,27,FEB,123,3,99,8,FAILURE,NO
45,BLUE-COLLAR,MARRIED,SECONDARY,NO,776,YES,NO,CELLULAR,6,FEB,232,4,253,1,FAILURE,NO
28,TECHNICIAN,SINGLE,SECONDARY,NO,1453,YES,NO,CELLULAR,12,MAY,246,1,343,1,OTHER,NO
27,ADMIN.,SINGLE,TERTIARY,NO,3672,YES,NO,CELLULAR,15,MAY,157,2,351,5,FAILURE,NO
45,BLUE-COLLAR,SINGLE,SECONDARY,NO,0,YES,NO,CELLULAR,26,APR,1472,1,192,4,FAILURE,YES
36,MANAGEMENT,MARRIED,TERTIARY,NO,1133,YES,NO,CELLULAR,4,AUG,293,1,181,2,OTHER,YES
59,ADMIN.,MARRIED,SECONDARY,NO,92,YES,NO,CELLULAR,12,MAY,139,2,350,1,FAILURE,NO
27,STUDENT,SINGLE,TERTIARY,NO,3733,YES,NO,CELLULAR,22,MAY,198,1,98,6,SUCCESS,YES
46,ADMIN.,MARRIED,SECONDARY,NO,0,YES,YES,CELLULAR,20,APR,239,2,259,2,FAILURE,NO
35,SELF-EMPLOYED,MARRIED,TERTIARY,NO,560,YES,NO,CELLULAR,2,APR,58,1,136,1,FAILURE,NO
29,MANAGEMENT,SINGLE,TERTIARY,NO,437,NO,NO,CELLULAR,5,AUG,504,1,92,1,SUCCESS,YES
74,RETIRED,MARRIED,SECONDARY,NO,935,NO,NO,CELLULAR,26,JAN,100,1,104,1,OTHER,NO
57,BLUE-COLLAR,MARRIED,SECONDARY,NO,1521,YES,YES,CELLULAR,18,MAY,102,2,178,5,FAILURE,NO
34,MANAGEMENT,MARRIED,TERTIARY,NO,1310,NO,NO,TELEPHONE,30,JAN,521,3,158,7,OTHER,NO
55,MANAGEMENT,DIVORCED,TERTIARY,NO,9756,YES,NO,CELLULAR,5,JUN,103,2,95,1,OTHER,YES
37,BLUE-COLLAR,MARRIED,PRIMARY,NO,403,YES,NO,CELLULAR,8,MAY,318,2,338,1,SUCCESS,NO
